125,67
124,68
122,68
122,70
121,71
121,75
120,76
120,89
119,90
119,104
118,105
118,118
117,119
117,133
116,134
116,147
115,148
115,162
114,163
114,176
113,177
113,191
112,192
112,206
111,207
111,220
110,221
110,235
109,236
109,249
108,250
108,263
107,264
107,277
106,278
106,292
105,293
105,306
104,307
104,321
103,322
103,336
102,337
102,350
101,351
101,365
100,366
100,379
99,380
99,394
98,395
98,408
97,409
97,417
98,418
97,419
97,424
96,425
96,438
95,439
95,453
94,454
94,468
93,469
93,482
92,483
92,497
91,498
91,511
90,512
90,526
89,527
89,540
88,541
88,555
87,556
87,569
86,570
86,584
85,585
85,599
84,600
84,613
83,614
83,628
82,629
82,642
81,643
81,657
80,658
80,671
79,672
79,686
78,687
78,700
77,701
77,717
76,718
76,730
75,731
75,744
74,745
74,759
73,760
73,773
72,774
72,788
71,789
71,795
72,796
72,798
1502,798
1502,784
1501,783
1501,771
1500,770
1500,759
1499,758
1499,746
1498,745
1498,733
1497,732
1497,720
1496,719
1496,707
1495,706
1495,694
1494,693
1494,682
1493,681
1493,669
1492,668
1492,656
1491,655
1491,643
1490,642
1490,630
1489,629
1489,617
1488,616
1488,605
1487,604
1487,592
1486,591
1486,579
1485,578
1485,566
1484,565
1484,553
1483,552
1483,540
1482,539
1482,527
1481,526
1481,515
1480,514
1480,502
1479,501
1479,489
1478,488
1478,476
1477,475
1477,463
1476,462
1476,450
1475,449
1475,439
1474,438
1474,426
1473,425
1473,413
1472,412
1472,400
1471,399
1471,387
1470,386
1470,374
1469,373
1469,362
1468,361
1468,349
1467,348
1467,336
1466,335
1466,323
1465,322
1465,310
1464,309
1464,297
1463,296
1463,284
1462,283
1462,280
1463,279
1463,278
1462,277
1462,271
1461,270
1461,258
1460,257
1460,245
1459,244
1459,232
1458,231
1458,219
1457,218
1457,206
1456,205
1456,194
1455,193
1455,181
1454,180
1454,168
1453,167
1453,155
1452,154
1452,142
1451,141
1451,129
1450,128
1450,116
1449,115
1449,104
1448,103
1448,89
1447,88
1447,78
1446,77
1446,68
1444,68
1443,67
